ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງສະຖານບໍລິການປິ່ນປົວ,Organize referral to health facility
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or medical costs) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ກວດກາເບິ່ງການເຂົ້າປິ່ນປົວຢູ່ສະຖານບໍລິການ ແລະ ການໃຫ້ຄຳແນະນຳ ( ການປິ່ນປົວ/ການຜ່າຕັດ/ ການສະໜອງແວ່ນຕາ) ໂດຍທ່ານໝໍ ,Check attendance at health facility and recommendations (treatment/surgery/ provision of glasses) provided by the doctor
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ສະໜັບສະໜູນຄົນເຈັບຊື້ແວ່ນຕາຈາກຮ້ານຂາຍແວ່ນຕາ ເມື່ອຈຳເປັນ,Support person to buy glasses from optician shop if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ຊື້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ແວ່ນຂະຫຍາຍ / ແວ່ນອ່ານໜັງສື)ຈາກຮ້ານຂາຍຢາ,Purchase other vision assistive products (magnifier/ reading glasses) from pharmacy
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ສຳລັບການຜ່າຕັດຕາ ຖ້າຈຳເປັນ,Provide financial support (transport and/or medical costs) for eye surgery if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ໃຫ້ຄຳແນະນຳກ່ຽວກັບການໃຊ້ ແລະ ສ້ອມແປງແວ່ນຕາ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນຕ່າງໆ,Provide advice on use and maintenance of glasses and/or other vision assistive products
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ສົ່ງເສີມໃຫ້ໃຊ້ແວ່ນຕາ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ,Encourage use of glasses/ vision assistive product
