Improved access to technical and vocational skills,Referral to TVET institution,Identify the desired course the person wants to study and the appropriate TVET to provide this training. 
Improved access to technical and vocational skills,Referral to TVET institution,Discuss and plan with the family on the implications of the person doing TVET on the household
Improved access to technical and vocational skills,Referral to TVET institution,Visit the potential TVET and surrounding area before making a final decision
Improved access to technical and vocational skills,Referral to TVET institution,Support the person to complete the enrolment application form
Improved access to technical and vocational skills,Referral to TVET institution,Support the person as required to prepare for the entrance examination
Improved access to technical and vocational skills,Referral to TVET institution,"If needed, support the person to apply for scholarships"
Improved access to technical and vocational skills,Referral to TVET institution,"As needed, support the person to obtain study materials, tools and clothing (uniform)"
Improved access to technical and vocational skills,Referral to TVET institution,Support the person and family to identify appropriate housing at or near to the TVET
Improved access to technical and vocational skills,Referral to TVET institution,If needed support the person to open a bank account near the TVET
Improved access to technical and vocational skills,Referral to TVET institution,Discuss with person and TVET any potential barriers to learning and obtain assistive devices to optimize classroom/ workshop areas
Improved access to technical and vocational skills,Referral to TVET institution,Complete follow-up after graduation to determine other needs and develop a business plan or refer to LDPA job readiness program
Improved access to technical and vocational skills,Referral to TVET institution,"If needed, support the person to obtain potential assets related to TVET skills gained (sewing machine, hairdressing supplies, etc."
Improved access to technical and vocational skills,Accessing an apprenticeship,Discuss and identify desired trade/ skills the person is interested to learn from an apprenticeship 
Improved access to technical and vocational skills,Accessing an apprenticeship,Identify potential mentor with business for apprenticeship
Improved access to technical and vocational skills,Accessing an apprenticeship,Sensitize mentor on disability and inclusion specific to beneficiary
Improved access to technical and vocational skills,Accessing an apprenticeship,"Arrange meeting with person, their family and mentor and make a plan/ agreement for the apprenticeship"
Improved access to technical and vocational skills,Accessing an apprenticeship,Identify any pre-requisite skills needed before the apprenticeship and link to training
Improved access to technical and vocational skills,Accessing an apprenticeship,"If required, obtain trade materials (tools, sewing machine, etc.)"
Improved access to technical and vocational skills,Accessing an apprenticeship,If required support the person to open a bank account
Improved access to technical and vocational skills,Accessing an apprenticeship,"if required, provide the person a living stipend"
